DATAFLOW,LAST UPDATE,freq,unit,direct,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT3,2011,72653,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT3,2012,76201,b
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT3,2013,77241,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT3,2014,79578,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT3,2015,81705,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT3,2016,83477,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT3,2017,87394,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT3,2018,91462,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT3,2019,95109,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT3,2020,90332,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT31,2000,23983,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT31,2001,24611,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT31,2002,24900,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT31,2003,25697,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT31,2004,27183,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT31,2005,28761,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT31,2006,30425,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT31,2007,31927,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT31,2008,33211,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT31,2009,32334,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT31,2010,32428,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT31,2011,33809,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT31,2012,35292,b
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT31,2013,35615,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT31,2014,36716,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT31,2015,37432,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT31,2016,38124,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT31,2017,39979,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT31,2018,41935,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,MIO_EUR,BAL,B5N,AT31,2019,43620,
