Provinces;Five-year age group;Nationality;Sex;Period;Total
01 Araba/Álava;Total;País de Europa menos UE27_2020;Both sexes;1 July 2009;""
01 Araba/Álava;Total;País de Europa menos UE27_2020;Both sexes;1 January 2009;""
01 Araba/Álava;Total;País de Europa menos UE27_2020;Both sexes;1 July 2008;""
01 Araba/Álava;Total;País de Europa menos UE27_2020;Both sexes;1 January 2008;""
01 Araba/Álava;Total;País de Europa menos UE27_2020;Both sexes;1 July 2007;""
01 Araba/Álava;Total;País de Europa menos UE27_2020;Both sexes;1 January 2007;""
01 Araba/Álava;Total;País de Europa menos UE27_2020;Both sexes;1 July 2006;""
01 Araba/Álava;Total;País de Europa menos UE27_2020;Both sexes;1 January 2006;""
01 Araba/Álava;Total;País de Europa menos UE27_2020;Both sexes;1 July 2005;""
01 Araba/Álava;Total;País de Europa menos UE27_2020;Both sexes;1 January 2005;""
01 Araba/Álava;Total;País de Europa menos UE27_2020;Both sexes;1 July 2004;""
01 Araba/Álava;Total;País de Europa menos UE27_2020;Both sexes;1 January 2004;""
01 Araba/Álava;Total;País de Europa menos UE27_2020;Both sexes;1 July 2003;""
01 Araba/Álava;Total;País de Europa menos UE27_2020;Both sexes;1 January 2003;""
01 Araba/Álava;Total;País de Europa menos UE27_2020;Both sexes;1 July 2002;""
01 Araba/Álava;Total;País de Europa menos UE27_2020;Both sexes;1 January 2002;""
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 July 2022;""
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 January 2022;""
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 July 2021;""
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 January 2021;""
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 July 2020;""
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 January 2020;1,510.924069
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 July 2019;1,461.924069
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 January 2019;1,420.924069
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 July 2018;1,348.924069
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 January 2018;1,300.924069
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 July 2017;1,251.924069
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 January 2017;1,209.924069
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 July 2016;1,135.096183
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 January 2016;1,125.121636
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 July 2015;1,104.008757
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 January 2015;1,088.997278
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 July 2014;1,065.345985
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 January 2014;1,067.899904
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 July 2013;1,078.860103
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 January 2013;1,110.296027
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 July 2012;1,120.088146
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 January 2012;1,142.545823
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 July 2011;1,157.805140
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 January 2011;1,140.009282
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 July 2010;1,141.863204
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 January 2010;1,094.651233
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 July 2009;1,081.429269
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 January 2009;1,042.544820
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 July 2008;1,004.189164
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 January 2008;948.201086
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 July 2007;838.425166
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 January 2007;765.942072
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 July 2006;712.123846
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 January 2006;688.962859
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 July 2005;630.545682
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 January 2005;586.582958
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 July 2004;513.647658
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 January 2004;460.553781
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 July 2003;413.063984
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 January 2003;364.424471
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 July 2002;293.667822
01 Araba/Álava;Total;País de Europa menos UE28;Both sexes;1 January 2002;224.652860
01 Araba/Álava;Total;De Africa;Both sexes;1 July 2022;8,646.013226
01 Araba/Álava;Total;De Africa;Both sexes;1 January 2022;8,863.013226
01 Araba/Álava;Total;De Africa;Both sexes;1 July 2021;8,929.013226
01 Araba/Álava;Total;De Africa;Both sexes;1 January 2021;9,261.013226
01 Araba/Álava;Total;De Africa;Both sexes;1 July 2020;9,816.132542
01 Araba/Álava;Total;De Africa;Both sexes;1 January 2020;9,759.251858
01 Araba/Álava;Total;De Africa;Both sexes;1 July 2019;9,526.251858
01 Araba/Álava;Total;De Africa;Both sexes;1 January 2019;9,502.251858
01 Araba/Álava;Total;De Africa;Both sexes;1 July 2018;9,426.251858
01 Araba/Álava;Total;De Africa;Both sexes;1 January 2018;9,408.251858
01 Araba/Álava;Total;De Africa;Both sexes;1 July 2017;9,133.251858
01 Araba/Álava;Total;De Africa;Both sexes;1 January 2017;9,018.251858
01 Araba/Álava;Total;De Africa;Both sexes;1 July 2016;8,923.596329
01 Araba/Álava;Total;De Africa;Both sexes;1 January 2016;8,953.402975
01 Araba/Álava;Total;De Africa;Both sexes;1 July 2015;8,784.586135
01 Araba/Álava;Total;De Africa;Both sexes;1 January 2015;8,748.792933
01 Araba/Álava;Total;De Africa;Both sexes;1 July 2014;8,989.883155
01 Araba/Álava;Total;De Africa;Both sexes;1 January 2014;9,227.976385
01 Araba/Álava;Total;De Africa;Both sexes;1 July 2013;9,486.517415
01 Araba/Álava;Total;De Africa;Both sexes;1 January 2013;9,754.024238
01 Araba/Álava;Total;De Africa;Both sexes;1 July 2012;10,042.653259
01 Araba/Álava;Total;De Africa;Both sexes;1 January 2012;10,584.635286
01 Araba/Álava;Total;De Africa;Both sexes;1 July 2011;11,019.977750
01 Araba/Álava;Total;De Africa;Both sexes;1 January 2011;10,970.267927
01 Araba/Álava;Total;De Africa;Both sexes;1 July 2010;10,572.913099
01 Araba/Álava;Total;De Africa;Both sexes;1 January 2010;10,202.902507
01 Araba/Álava;Total;De Africa;Both sexes;1 July 2009;9,763.804666
01 Araba/Álava;Total;De Africa;Both sexes;1 January 2009;9,057.247710
01 Araba/Álava;Total;De Africa;Both sexes;1 July 2008;8,238.517562
01 Araba/Álava;Total;De Africa;Both sexes;1 January 2008;7,468.548628
01 Araba/Álava;Total;De Africa;Both sexes;1 July 2007;6,920.082092
01 Araba/Álava;Total;De Africa;Both sexes;1 January 2007;6,436.519523
01 Araba/Álava;Total;De Africa;Both sexes;1 July 2006;5,971.606031
01 Araba/Álava;Total;De Africa;Both sexes;1 January 2006;5,659.340390
01 Araba/Álava;Total;De Africa;Both sexes;1 July 2005;5,215.021984
01 Araba/Álava;Total;De Africa;Both sexes;1 January 2005;4,835.063759
01 Araba/Álava;Total;De Africa;Both sexes;1 July 2004;4,312.511770
01 Araba/Álava;Total;De Africa;Both sexes;1 January 2004;3,865.273057
01 Araba/Álava;Total;De Africa;Both sexes;1 July 2003;3,389.785008
01 Araba/Álava;Total;De Africa;Both sexes;1 January 2003;2,908.147609
01 Araba/Álava;Total;De Africa;Both sexes;1 July 2002;2,271.918128
01 Araba/Álava;Total;De Africa;Both sexes;1 January 2002;1,813.253504
01 Araba/Álava;Total;De América del Norte;Both sexes;1 July 2022;368.278563
01 Araba/Álava;Total;De América del Norte;Both sexes;1 January 2022;345.278563
01 Araba/Álava;Total;De América del Norte;Both sexes;1 July 2021;325.278563
01 Araba/Álava;Total;De América del Norte;Both sexes;1 January 2021;326.278563
01 Araba/Álava;Total;De América del Norte;Both sexes;1 July 2020;330.758563
01 Araba/Álava;Total;De América del Norte;Both sexes;1 January 2020;325.238563
01 Araba/Álava;Total;De América del Norte;Both sexes;1 July 2019;304.238563
01 Araba/Álava;Total;De América del Norte;Both sexes;1 January 2019;306.238563
01 Araba/Álava;Total;De América del Norte;Both sexes;1 July 2018;294.238563
01 Araba/Álava;Total;De América del Norte;Both sexes;1 January 2018;289.238563
01 Araba/Álava;Total;De América del Norte;Both sexes;1 July 2017;268.238563
01 Araba/Álava;Total;De América del Norte;Both sexes;1 January 2017;274.238563
01 Araba/Álava;Total;De América del Norte;Both sexes;1 July 2016;259.405851
01 Araba/Álava;Total;De América del Norte;Both sexes;1 January 2016;259.604376
01 Araba/Álava;Total;De América del Norte;Both sexes;1 July 2015;253.454437
01 Araba/Álava;Total;De América del Norte;Both sexes;1 January 2015;246.187916
01 Araba/Álava;Total;De América del Norte;Both sexes;1 July 2014;238.095850
01 Araba/Álava;Total;De América del Norte;Both sexes;1 January 2014;237.518430
01 Araba/Álava;Total;De América del Norte;Both sexes;1 July 2013;236.321951
01 Araba/Álava;Total;De América del Norte;Both sexes;1 January 2013;239.349756
01 Araba/Álava;Total;De América del Norte;Both sexes;1 July 2012;210.670456
01 Araba/Álava;Total;De América del Norte;Both sexes;1 January 2012;210.258333
01 Araba/Álava;Total;De América del Norte;Both sexes;1 July 2011;194.248760
01 Araba/Álava;Total;De América del Norte;Both sexes;1 January 2011;200.614185
01 Araba/Álava;Total;De América del Norte;Both sexes;1 July 2010;206.299008
01 Araba/Álava;Total;De América del Norte;Both sexes;1 January 2010;222.270908
01 Araba/Álava;Total;De América del Norte;Both sexes;1 July 2009;223.434614
01 Araba/Álava;Total;De América del Norte;Both sexes;1 January 2009;229.357359
01 Araba/Álava;Total;De América del Norte;Both sexes;1 July 2008;215.018784
01 Araba/Álava;Total;De América del Norte;Both sexes;1 January 2008;207.860671
01 Araba/Álava;Total;De América del Norte;Both sexes;1 July 2007;199.914688
01 Araba/Álava;Total;De América del Norte;Both sexes;1 January 2007;192.420649
01 Araba/Álava;Total;De América del Norte;Both sexes;1 July 2006;187.925166
01 Araba/Álava;Total;De América del Norte;Both sexes;1 January 2006;206.728953
01 Araba/Álava;Total;De América del Norte;Both sexes;1 July 2005;211.018878
01 Araba/Álava;Total;De América del Norte;Both sexes;1 January 2005;208.407051
01 Araba/Álava;Total;De América del Norte;Both sexes;1 July 2004;195.396912
01 Araba/Álava;Total;De América del Norte;Both sexes;1 January 2004;173.386097
01 Araba/Álava;Total;De América del Norte;Both sexes;1 July 2003;158.036948
01 Araba/Álava;Total;De América del Norte;Both sexes;1 January 2003;143.310449
01 Araba/Álava;Total;De América del Norte;Both sexes;1 July 2002;126.128796
01 Araba/Álava;Total;De América del Norte;Both sexes;1 January 2002;105.542730
01 Araba/Álava;Total;De Centro América y Caribe;Both sexes;1 July 2022;1,467.828838
01 Araba/Álava;Total;De Centro América y Caribe;Both sexes;1 January 2022;1,446.828838
01 Araba/Álava;Total;De Centro América y Caribe;Both sexes;1 July 2021;1,468.828838
01 Araba/Álava;Total;De Centro América y Caribe;Both sexes;1 January 2021;1,498.828838
01 Araba/Álava;Total;De Centro América y Caribe;Both sexes;1 July 2020;1,510.828838
01 Araba/Álava;Total;De Centro América y Caribe;Both sexes;1 January 2020;1,424.828838
01 Araba/Álava;Total;De Centro América y Caribe;Both sexes;1 July 2019;1,349.258682
01 Araba/Álava;Total;De Centro América y Caribe;Both sexes;1 January 2019;1,253.688526
01 Araba/Álava;Total;De Centro América y Caribe;Both sexes;1 July 2018;1,171.688526
01 Araba/Álava;Total;De Centro América y Caribe;Both sexes;1 January 2018;1,124.688526
01 Araba/Álava;Total;De Centro América y Caribe;Both sexes;1 July 2017;1,034.688526
01 Araba/Álava;Total;De Centro América y Caribe;Both sexes;1 January 2017;985.688526
01 Araba/Álava;Total;De Centro América y Caribe;Both sexes;1 July 2016;984.931455
01 Araba/Álava;Total;De Centro América y Caribe;Both sexes;1 January 2016;994.125029
01 Araba/Álava;Total;De Centro América y Caribe;Both sexes;1 July 2015;984.954497
01 Araba/Álava;Total;De Centro América y Caribe;Both sexes;1 January 2015;975.671947
01 Araba/Álava;Total;De Centro América y Caribe;Both sexes;1 July 2014;954.832921
01 Araba/Álava;Total;De Centro América y Caribe;Both sexes;1 January 2014;1,000.446834
01 Araba/Álava;Total;De Centro América y Caribe;Both sexes;1 July 2013;1,033.828242
01 Araba/Álava;Total;De Centro América y Caribe;Both sexes;1 January 2013;1,089.005675
